Id,Name,field,action,old_value,new_value
001WR00001eGy2HYAS,The Apartment Company,Account,created,,The Apartment Company
001WR00001eFsNBYA0,Crown Property Management,Account,created,,Crown Property Management
001WR00001eGy3tYAC,Clarity Real Estate Company,Account,created,,Clarity Real Estate Company
001WR00001eEvoaYAC,Excel Development Group,Account,created,,Excel Development Group
001WR00001eEfocYAC,Goldmark Property Management,Account,created,,Goldmark Property Management
001WR00001eGtfKYAS,NP Dodge Management Company,Account,created,,NP Dodge Management Company
001WR00001eG6TKYA0,Omaha's Premier Property,Account,created,,Omaha's Premier Property
001WR00001eGy77YAC,Orange Property Management,Account,created,,Orange Property Management
001WR00001eGy8jYAC,StoneCreek,Account,created,,StoneCreek
006WR00000xwEzuYAE,Omaha_MDU_5314-5322 Corby St,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000xvtfKYAQ,Omaha_MDU_1115-1117 N 48TH ST,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000xuog7YAA,Omaha_MDU_1121 N 48TH ST,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000xwFsjYAE,Omaha_MDU_4752 NICHOLAS ST,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR000011bsupYAA,Benson Apartments,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR000011aevbYAA,Church Hill Apartments,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000wk9SrYAI,Cottonwood Apartments East,Management_Company__c,updated,001WR00001ZtBJ8YAN,001WR00001ZtBJ8YAN
006WR00000xwGQbYAM,Omaha_MDU_821 N 47th St,Management_Company__c,updated,001WR00001e5P36YAE,001WR00001e5P36YAE
006WR00000xvv7fYAA,Omaha_MDU_9026-9032 Ohio St,Management_Company__c,updated,001WR00001e5P36YAE,001WR00001e5P36YAE
006WR000011cWtpYAE,Heritage Apartments,Management_Company__c,updated,001WR00001e5P36YAE,001WR00001e5P36YAE
006WR00000wkA8pYAE,Caravelle Apartments,Management_Company__c,updated,001WR00001e5P36YAE,001WR00001e5P36YAE
