Action,IronClad_Id,Opp_Name,New_Opp_Id,New_Agreement_Id,City,State,Signed_Date,Counterparty,Timestamp
PREVIEW,IC-1704,ROE - 7254 N 30TH ST OMAHA NE,,,Omaha,NE,2025-10-21,Progressive Retail Management Inc.,2026-07-01T09:15:09.937625
PREVIEW,IC-1758,ROE - 4910 NORTH 72ND STREET OMAHA NE,,,Omaha,NE,2025-10-23,Marian High School Inc.,2026-07-01T09:15:09.937631
PREVIEW,IC-1780,ROE - 9502 FORT STREET OMAHA NE,,,Omaha,NE,2025-11-05,Morgan Lewis / COMPASSION & CARE NEBRASKA LLC,2026-07-01T09:15:09.937634
PREVIEW,IC-1784,ROE - 6330 NORTH 56TH STREET OMAHA NE,,,Omaha,NE,2025-11-07,Victory Church,2026-07-01T09:15:09.937635
PREVIEW,IC-1829,ROE - 5030 NORTH 72ND STREET OMAHA NE,,,Omaha,NE,2025-11-19,Cross Training Center,2026-07-01T09:15:09.937639
PREVIEW,IC-2226,ROE - 40134 INDUSTRIAL PARK CIRCLE GEORGETOWN TX,,,Georgetown,TX,2026-01-22,Century 21 Commercial Stribling Properties,2026-07-01T09:15:09.937641
PREVIEW,IC-2630,ROE - 1568 FM3433 NEWARK TX,,,Newark,TX,2026-01-30,Scott Bolton,2026-07-01T09:15:09.937642
PREVIEW,IC-265,ROE - 100-248 PARK ST AZLE TX,,,Azle,TX,2025-06-25,"Woodcrest Capital, LLC",2026-07-01T09:15:09.937643
PREVIEW,IC-2699,ROE - 2100 TRIMMIER ROAD KILLEEN TX,,,Killeen,TX,2026-02-09,Liberty Square Partnership,2026-07-01T09:15:09.937645
PREVIEW,IC-2725,ROE - 11640 NORTH INTERSTATE 35 JARRELL TX,,,Jarrell,TX,2026-02-12,McDonalds Real Estate Company,2026-07-01T09:15:09.937646
PREVIEW,IC-2798,ROE - 913 WEST RANCIER AVENUE KILLEEN TX,,,Killeen,TX,2026-02-18,Arcade News,2026-07-01T09:15:09.937647
PREVIEW,IC-2843,ROE - 610 NORTH AUSTIN AVENUE GEORGETOWN TX,,,Georgetown,TX,2026-02-25,HW Georgetown,2026-07-01T09:15:09.937649
PREVIEW,IC-2870,ROE - 5001 NORTH 42ND STREET OMAHA NE,,,Omaha,NE,2026-03-04,Stacey Hunnicutt,2026-07-01T09:15:09.937650
PREVIEW,IC-2923,ROE - 600 NORTHWEST 6TH STREET MINERAL WELLS TX,,,Mineral Wells,TX,2026-03-13,ST LUKE S EPISCOPAL CHURCH / CORP OF THE EPISCOPAL DIOCESE OF FT WORTH,2026-07-01T09:15:09.937651
PREVIEW,IC-2924,ROE - 1002 CARPENTER STREET BRIDGEPORT TX,,,Bridgeport,TX,2026-03-13,LM Grace Non-Exempt Trust,2026-07-01T09:15:09.937652
PREVIEW,IC-2926,ROE - 100 EAST SPRING STREET GEORGETOWN TX,,,Georgetown,TX,2026-03-16,Etheredge Sandra P Trustee of Revocable Living Trust,2026-07-01T09:15:09.937654
PREVIEW,IC-2988,ROE - 3116 CAPITAL WAY FORT WORTH TX,,,Fort Worth,TX,2026-03-27,Dr. Amrittej Virk,2026-07-01T09:15:09.937655
PREVIEW,IC-3036,ROE - 7301 NORTH 28TH AVENUE OMAHA NE,,,Omaha,NE,2026-04-06,Mount Olive Lutheran Church,2026-07-01T09:15:09.937656
PREVIEW,IC-3172,ROE - 660 W FM 2410 RD HARKER HEIGHTS TX,,,Harker Heights,TX,2026-04-15,Ted Smith Law Group,2026-07-01T09:15:09.937658
PREVIEW,IC-3262,ROE - 1519 NORTH MAIN STREET TAYLOR TX,,,Taylor,TX,2026-04-17,"City of Taylor, Texas",2026-07-01T09:15:09.937659
PREVIEW,IC-3321,ROE - 135 OLD MILL ROAD RHOME TX,,,Rhome,TX,2026-04-22,Amiee Davis,2026-07-01T09:15:09.937660
